asset_id,cse_id,asset_type,criticality,business_function,environment,monitoring_status
AST-CSE-001-023,CSE-001,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-001-024,CSE-001,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-001-025,CSE-001,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-001-026,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-027,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-028,CSE-001,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-001-029,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-030,CSE-001,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-001-031,CSE-001,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-001-032,CSE-001,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-001-033,CSE-001,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-034,CSE-001,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-001-035,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-036,CSE-001,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-001-037,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-038,CSE-001,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-001-039,CSE-001,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-001-040,CSE-001,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-001-041,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-042,CSE-001,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-043,CSE-001,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-001-044,CSE-001,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-001-045,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-046,CSE-001,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-001-047,CSE-001,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-001-048,CSE-001,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-001-049,CSE-001,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-001-050,CSE-001,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-001-051,CSE-001,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-001-052,CSE-001,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-001-053,CSE-001,Web Application Server,LOW,Customer Portal,Production,ACTIVE
AST-CSE-001-054,CSE-001,Relational Database Server,MEDIUM,Transactional Database,DR,ACTIVE
AST-CSE-001-055,CSE-001,Domain Controller (AD),MEDIUM,Identity and Access Management,Production,ACTIVE
AST-CSE-001-056,CSE-001,SIEM Collector Node,LOW,Telemetry Aggregation,Staging,ACTIVE
AST-CSE-001-057,CSE-001,NextGen Firewall,LOW,Perimeter Defense,Production,ACTIVE
AST-CSE-001-058,CSE-001,NextGen Firewall,MEDIUM,Perimeter Defense,Staging,ACTIVE
AST-CSE-001-059,CSE-001,OT Engineering Workstation,LOW,Substation Automation,Production,ACTIVE
AST-CSE-001-060,CSE-001,NextGen Firewall,LOW,Perimeter Defense,Production,ACTIVE
AST-CSE-001-061,CSE-001,SIEM Collector Node,LOW,Telemetry Aggregation,DR,ACTIVE
AST-CSE-001-062,CSE-001,SIEM Collector Node,MEDIUM,Telemetry Aggregation,Staging,ACTIVE
AST-CSE-001-063,CSE-001,Domain Controller (AD),MEDIUM,Identity and Access Management,DR,ACTIVE
AST-CSE-001-064,CSE-001,Relational Database Server,LOW,Transactional Database,DR,ACTIVE
AST-CSE-001-065,CSE-001,OT Engineering Workstation,LOW,Substation Automation,Production,ACTIVE
AST-CSE-001-066,CSE-001,Domain Controller (AD),LOW,Identity and Access Management,Production,ACTIVE
AST-CSE-001-067,CSE-001,SCADA RTU / PLC,MEDIUM,Industrial Control Gateway,Production,ACTIVE
AST-CSE-001-068,CSE-001,Domain Controller (AD),LOW,Identity and Access Management,DR,ACTIVE
AST-CSE-001-069,CSE-001,Core Banking Switch,LOW,Payment Processing Engine,Staging,ACTIVE
AST-CSE-001-070,CSE-001,SIEM Collector Node,LOW,Telemetry Aggregation,DR,ACTIVE
AST-CSE-001-071,CSE-001,SCADA RTU / PLC,MEDIUM,Industrial Control Gateway,DR,ACTIVE
AST-CSE-001-072,CSE-001,Relational Database Server,LOW,Transactional Database,Production,ACTIVE
AST-CSE-001-073,CSE-001,Relational Database Server,LOW,Transactional Database,Production,ACTIVE
AST-CSE-001-074,CSE-001,SIEM Collector Node,MEDIUM,Telemetry Aggregation,DR,ACTIVE
AST-CSE-001-075,CSE-001,Relational Database Server,MEDIUM,Transactional Database,DR,ACTIVE
AST-CSE-001-076,CSE-001,Core Banking Switch,LOW,Payment Processing Engine,DR,ACTIVE
AST-CSE-001-077,CSE-001,NextGen Firewall,MEDIUM,Perimeter Defense,Staging,ACTIVE
AST-CSE-001-078,CSE-001,Domain Controller (AD),MEDIUM,Identity and Access Management,DR,ACTIVE
AST-CSE-001-079,CSE-001,Web Application Server,LOW,Customer Portal,Production,ACTIVE
AST-CSE-001-080,CSE-001,Core Banking Switch,LOW,Payment Processing Engine,Staging,ACTIVE
AST-CSE-002-001,CSE-002,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-002,CSE-002,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-003,CSE-002,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-004,CSE-002,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-002-005,CSE-002,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-006,CSE-002,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-002-007,CSE-002,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-002-008,CSE-002,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-009,CSE-002,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-002-010,CSE-002,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-002-011,CSE-002,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-002-012,CSE-002,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-013,CSE-002,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-002-014,CSE-002,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-002-015,CSE-002,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-002-016,CSE-002,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-017,CSE-002,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-018,CSE-002,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-019,CSE-002,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-002-020,CSE-002,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-002-021,CSE-002,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-022,CSE-002,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-002-023,CSE-002,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-024,CSE-002,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-025,CSE-002,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-002-026,CSE-002,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-027,CSE-002,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-002-028,CSE-002,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-029,CSE-002,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-002-030,CSE-002,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-031,CSE-002,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-002-032,CSE-002,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-002-033,CSE-002,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-034,CSE-002,NextGen Firewall,MEDIUM,Perimeter Defense,Staging,ACTIVE
AST-CSE-002-035,CSE-002,NextGen Firewall,LOW,Perimeter Defense,Production,ACTIVE
AST-CSE-002-036,CSE-002,SCADA RTU / PLC,LOW,Industrial Control Gateway,Staging,ACTIVE
AST-CSE-002-037,CSE-002,Relational Database Server,LOW,Transactional Database,Staging,ACTIVE
AST-CSE-002-038,CSE-002,NextGen Firewall,LOW,Perimeter Defense,Production,ACTIVE
AST-CSE-002-039,CSE-002,Core Banking Switch,MEDIUM,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-040,CSE-002,SCADA RTU / PLC,LOW,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-041,CSE-002,Web Application Server,LOW,Customer Portal,Staging,ACTIVE
AST-CSE-002-042,CSE-002,OT Engineering Workstation,LOW,Substation Automation,DR,ACTIVE
AST-CSE-002-043,CSE-002,Relational Database Server,LOW,Transactional Database,Production,ACTIVE
AST-CSE-002-044,CSE-002,NextGen Firewall,MEDIUM,Perimeter Defense,DR,ACTIVE
AST-CSE-002-045,CSE-002,SCADA RTU / PLC,LOW,Industrial Control Gateway,Production,ACTIVE
AST-CSE-002-046,CSE-002,NextGen Firewall,LOW,Perimeter Defense,Production,ACTIVE
AST-CSE-002-047,CSE-002,SIEM Collector Node,LOW,Telemetry Aggregation,Staging,ACTIVE
AST-CSE-002-048,CSE-002,OT Engineering Workstation,LOW,Substation Automation,Production,ACTIVE
AST-CSE-002-049,CSE-002,Core Banking Switch,LOW,Payment Processing Engine,DR,ACTIVE
AST-CSE-002-050,CSE-002,Core Banking Switch,MEDIUM,Payment Processing Engine,Production,ACTIVE
AST-CSE-002-051,CSE-002,SIEM Collector Node,MEDIUM,Telemetry Aggregation,Production,ACTIVE
AST-CSE-002-052,CSE-002,SCADA RTU / PLC,LOW,Industrial Control Gateway,Staging,ACTIVE
AST-CSE-003-001,CSE-003,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-002,CSE-003,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-003-003,CSE-003,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-003-004,CSE-003,Web Application Server,CRITICAL,Customer Portal,Production,ACTIVE
AST-CSE-003-005,CSE-003,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-003-006,CSE-003,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-003-007,CSE-003,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-008,CSE-003,Web Application Server,CRITICAL,Customer Portal,Production,ACTIVE
AST-CSE-003-009,CSE-003,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-003-010,CSE-003,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-003-011,CSE-003,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-012,CSE-003,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-003-013,CSE-003,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-003-014,CSE-003,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-015,CSE-003,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-003-016,CSE-003,Web Application Server,CRITICAL,Customer Portal,Production,ACTIVE
AST-CSE-003-017,CSE-003,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-003-018,CSE-003,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-003-019,CSE-003,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-003-020,CSE-003,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-021,CSE-003,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-022,CSE-003,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-003-023,CSE-003,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-024,CSE-003,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-003-025,CSE-003,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-026,CSE-003,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-027,CSE-003,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-003-028,CSE-003,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-003-029,CSE-003,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-003-030,CSE-003,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-003-031,CSE-003,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-003-032,CSE-003,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-003-033,CSE-003,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-003-034,CSE-003,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-003-035,CSE-003,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-036,CSE-003,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-003-037,CSE-003,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-003-038,CSE-003,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-003-039,CSE-003,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-003-040,CSE-003,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-003-041,CSE-003,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-003-042,CSE-003,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-003-043,CSE-003,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-003-044,CSE-003,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-003-045,CSE-003,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-003-046,CSE-003,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-003-047,CSE-003,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-003-048,CSE-003,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-003-049,CSE-003,OT Engineering Workstation,LOW,Substation Automation,Production,ACTIVE
AST-CSE-003-050,CSE-003,Core Banking Switch,LOW,Payment Processing Engine,DR,ACTIVE
AST-CSE-003-051,CSE-003,NextGen Firewall,MEDIUM,Perimeter Defense,Staging,ACTIVE
AST-CSE-003-052,CSE-003,NextGen Firewall,MEDIUM,Perimeter Defense,Production,ACTIVE
AST-CSE-003-053,CSE-003,Core Banking Switch,MEDIUM,Payment Processing Engine,DR,ACTIVE
AST-CSE-003-054,CSE-003,SIEM Collector Node,MEDIUM,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-055,CSE-003,Web Application Server,LOW,Customer Portal,DR,ACTIVE
AST-CSE-003-056,CSE-003,Domain Controller (AD),LOW,Identity and Access Management,Staging,ACTIVE
AST-CSE-003-057,CSE-003,NextGen Firewall,MEDIUM,Perimeter Defense,Staging,ACTIVE
AST-CSE-003-058,CSE-003,Web Application Server,MEDIUM,Customer Portal,Staging,ACTIVE
AST-CSE-003-059,CSE-003,Domain Controller (AD),MEDIUM,Identity and Access Management,Production,ACTIVE
AST-CSE-003-060,CSE-003,Relational Database Server,LOW,Transactional Database,Staging,ACTIVE
AST-CSE-003-061,CSE-003,SIEM Collector Node,MEDIUM,Telemetry Aggregation,Production,ACTIVE
AST-CSE-003-062,CSE-003,Domain Controller (AD),MEDIUM,Identity and Access Management,Staging,ACTIVE
AST-CSE-003-063,CSE-003,NextGen Firewall,LOW,Perimeter Defense,DR,ACTIVE
AST-CSE-003-064,CSE-003,Web Application Server,MEDIUM,Customer Portal,Staging,ACTIVE
AST-CSE-003-065,CSE-003,NextGen Firewall,MEDIUM,Perimeter Defense,Production,ACTIVE
AST-CSE-003-066,CSE-003,Domain Controller (AD),MEDIUM,Identity and Access Management,Production,ACTIVE
AST-CSE-003-067,CSE-003,SIEM Collector Node,LOW,Telemetry Aggregation,DR,ACTIVE
AST-CSE-003-068,CSE-003,OT Engineering Workstation,LOW,Substation Automation,Production,ACTIVE
AST-CSE-003-069,CSE-003,NextGen Firewall,LOW,Perimeter Defense,DR,ACTIVE
AST-CSE-003-070,CSE-003,SIEM Collector Node,LOW,Telemetry Aggregation,DR,ACTIVE
AST-CSE-003-071,CSE-003,SCADA RTU / PLC,LOW,Industrial Control Gateway,Staging,ACTIVE
AST-CSE-003-072,CSE-003,SIEM Collector Node,LOW,Telemetry Aggregation,DR,ACTIVE
AST-CSE-003-073,CSE-003,SIEM Collector Node,MEDIUM,Telemetry Aggregation,Staging,ACTIVE
AST-CSE-003-074,CSE-003,Relational Database Server,MEDIUM,Transactional Database,Production,ACTIVE
AST-CSE-003-075,CSE-003,Domain Controller (AD),LOW,Identity and Access Management,Production,ACTIVE
AST-CSE-004-001,CSE-004,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-004-002,CSE-004,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-003,CSE-004,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-004,CSE-004,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-004-005,CSE-004,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-006,CSE-004,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-007,CSE-004,Web Application Server,CRITICAL,Customer Portal,Production,ACTIVE
AST-CSE-004-008,CSE-004,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-004-009,CSE-004,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-004-010,CSE-004,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-004-011,CSE-004,Domain Controller (AD),CRITICAL,Identity and Access Management,Production,ACTIVE
AST-CSE-004-012,CSE-004,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-013,CSE-004,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-004-014,CSE-004,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-004-015,CSE-004,Core Banking Switch,CRITICAL,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-016,CSE-004,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-004-017,CSE-004,Web Application Server,CRITICAL,Customer Portal,Production,ACTIVE
AST-CSE-004-018,CSE-004,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-004-019,CSE-004,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-004-020,CSE-004,NextGen Firewall,CRITICAL,Perimeter Defense,Production,ACTIVE
AST-CSE-004-021,CSE-004,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-004-022,CSE-004,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-004-023,CSE-004,SCADA RTU / PLC,CRITICAL,Industrial Control Gateway,Production,ACTIVE
AST-CSE-004-024,CSE-004,SIEM Collector Node,CRITICAL,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-025,CSE-004,Relational Database Server,CRITICAL,Transactional Database,Production,ACTIVE
AST-CSE-004-026,CSE-004,OT Engineering Workstation,CRITICAL,Substation Automation,Production,ACTIVE
AST-CSE-004-027,CSE-004,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-028,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-029,CSE-004,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-030,CSE-004,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-004-031,CSE-004,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-004-032,CSE-004,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-004-033,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-034,CSE-004,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-004-035,CSE-004,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-004-036,CSE-004,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-004-037,CSE-004,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-038,CSE-004,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-039,CSE-004,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-004-040,CSE-004,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-004-041,CSE-004,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-042,CSE-004,Domain Controller (AD),HIGH,Identity and Access Management,Production,ACTIVE
AST-CSE-004-043,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-044,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-045,CSE-004,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-046,CSE-004,SIEM Collector Node,HIGH,Telemetry Aggregation,Production,ACTIVE
AST-CSE-004-047,CSE-004,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-004-048,CSE-004,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-004-049,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-050,CSE-004,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-004-051,CSE-004,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-004-052,CSE-004,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-053,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-054,CSE-004,Core Banking Switch,HIGH,Payment Processing Engine,Production,ACTIVE
AST-CSE-004-055,CSE-004,NextGen Firewall,HIGH,Perimeter Defense,Production,ACTIVE
AST-CSE-004-056,CSE-004,Relational Database Server,HIGH,Transactional Database,Production,ACTIVE
AST-CSE-004-057,CSE-004,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-004-058,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-059,CSE-004,SCADA RTU / PLC,HIGH,Industrial Control Gateway,Production,ACTIVE
AST-CSE-004-060,CSE-004,OT Engineering Workstation,HIGH,Substation Automation,Production,ACTIVE
AST-CSE-004-061,CSE-004,Web Application Server,HIGH,Customer Portal,Production,ACTIVE
AST-CSE-004-062,CSE-004,OT Engineering Workstation,LOW,Substation Automation,DR,ACTIVE
AST-CSE-004-063,CSE-004,NextGen Firewall,LOW,Perimeter Defense,Staging,ACTIVE
AST-CSE-004-064,CSE-004,Relational Database Server,LOW,Transactional Database,Staging,ACTIVE
AST-CSE-004-065,CSE-004,Core Banking Switch,MEDIUM,Payment Processing Engine,Staging,ACTIVE
